Gesture,Subject,Repetition,Trial,TTPosition,PTPosition,UltPosition,PositionDiff,Duration,ClicksNumber,C1T,C1I,C2T,C2I,C3T,C3I,C4T,C4I,C5T,C5I,C6T,C6I,C7T,C7I,C8T,C8I,C9T,C9I,C10T,C10I,C11T,C11I,C12T,C12I,C13T,C13I,C14T,C14I,C15T,C15I,C16T,C16I,C17T,C17I,C18T,C18I,C19T,C19I,C20T,C20I,C21T,C21I,C22T,C22I,C23T,C23I,C24T,C24I,C25T,C25I,C26T,C26I,C27T,C27I,C28T,C28I,C29T,C29I,C30T,C30I,C31T,C31I,C32T,C32I,C33T,C33I,C34T,C34I,C35T,C35I,C36T,C36I,C37T,C37I,C38T,C38I,C39T,C39I,C40T,C40I,C41T,C41I,C42T,C42I,C43T,C43I,C44T,C44I,C45T,C45I,C46T,C46I,C47T,C47I,C48T,C48I,C49T,C49I,C50T,C50I
0,1,1,1,14,18,14,0,7.2156,8,0,18,1.3045,17,1.8957,18,3.1595,17,3.5604,16,4.079,15,4.9519,14,6.071,13,7.2156,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,2,4,18,10,6,4.6159,10,0,18,1.2151,17,1.4654,16,1.7154,15,1.9656,14,2.2158,13,2.4659,12,2.7518,11,3.1592,10,3.935,9,4.6159,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,3,11,1,7,-4,5.3513,6,0,1,2.6652,2,3.0554,3,3.3929,4,3.7048,5,4.297,6,5.3513,7,2.72,7,3.1692,8,3.5603,9,4.08,10,4.8153,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,4,6,17,9,3,4.9356,10,0,17,0.7424,16,1.0563,15,1.3064,14,1.5597,13,2.0088,12,2.4406,11,2.8641,10,3.6095,11,4.4009,10,4.9356,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,5,16,18,14,-2,4.4562,4,0,18,1.2874,17,1.7988,16,2.9829,15,4.4562,14,3.5547,14,3.8048,13,4.0547,12,4.3996,11,4.9038,10,5.4074,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,6,5,18,10,5,3.4633,8,0,18,0.7046,17,0.9546,16,1.2046,15,1.4546,14,1.7046,13,2.2561,12,2.7366,11,3.4633,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,7,16,2,10,-6,4.016,10,0,2,0.5443,1,1.4731,2,1.7132,3,1.9534,4,2.1933,5,2.4333,6,2.6733,7,3.1206,8,3.4656,9,4.016,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,8,14,1,10,-4,4.1753,9,0,1,1.2968,2,1.5368,3,1.8478,4,2.0882,5,2.4236,6,2.6794,7,3.1432,8,3.5128,9,4.1753,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,9,8,18,11,3,5.4877,11,0,18,0.9433,17,1.1935,16,1.5441,15,1.961,16,2.2967,15,2.6074,14,2.8574,13,3.1433,12,3.5112,11,4.6238,10,5.4877,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,10,12,1,10,-2,5.7028,9,0,1,2.4624,2,2.7023,3,3.0471,4,3.3027,5,3.5821,6,3.8777,7,4.2944,8,4.8708,9,5.7028,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
